X,Y,Z
1.91067,0.59104, 3
-1.33255,1.49141, 4
-0.801598,-1.83233, 5
1.99972,0.0336282, 6
-0.862754,1.80434, 7
-1.28165,-1.53537, 8
1.92947,-0.526463, 9
-0.324229,1.97354, 10
-1.65961,-1.1161, 11
1.70551,-1.04462, 12
0.240125,1.98553, 13
-1.90537,-0.607928, 14
1.3457,-1.47956, 15
0.78535,1.83935, 16
-1.99934,-0.0513251, 17
0.878689,-1.79664, 18
1.26801,1.54665, 19
-1.93405,0.509366, 20
0.341683,-1.9706, 21
1.64967,1.13075, 22
-1.71469,1.02948, 23
-0.222541,-1.98758, 24
1.89991,0.624769, 25
-1.35874,1.46759, 26
-0.769038,-1.84623, 27
1.99881,0.0690199, 28
-0.894557,1.78879, 29
-1.25427,-1.55782, 30
1.93848,-0.492227, 31
-0.359112,1.9675, 32
-1.6396,-1.14531, 33
1.72374,-1.01426, 34
0.204932,1.98947, 35
-1.8943,-0.641568, 36
1.37169,-1.4555, 37
0.75266,1.85297, 38
-1.99812,-0.0867168, 39
0.910362,-1.7808, 40
1.24043,1.56886, 41
-1.94276,0.475043, 42
0.37652,-1.96424, 43
1.62939,1.15978, 44
-1.73265,0.99896, 45
-0.187315,-1.99121, 46
1.88855,0.65831, 47
-1.38451,1.4433, 48
-0.736229,-1.85956, 49
1.99727,0.104399, 50
-0.926089,1.77267, 51
-1.2265,-1.57978, 52
1.94689,-0.457828, 53
-0.393892,1.96083, 54
-1.61906,-1.17416, 55
1.74142,-0.983585, 56
0.169683,1.99279, 57
-1.88265,-0.675001, 58
1.39724,-1.43099, 59
0.71974,1.866, 60
-1.99627,-0.122074, 61
0.941743,-1.7644, 62
1.21246,1.59058, 63
-1.95087,0.440577, 64
0.411232,-1.95727, 65
1.6086,1.18844, 66
-1.75006,0.968132, 67
-0.152037,-1.99421, 68
1.8766,0.691638, 69
-1.40985,1.41857, 70
-0.703196,-1.8723, 71
1.99511,0.139739, 72
-0.957324,1.756, 73
-1.19834,-1.60125, 74
1.95469,-0.423292, 75
-0.42854,1.95355, 76
-1.59802,-1.20263, 77
1.75856,-0.952604, 78
0.13438,1.99548, 79
-1.87041,-0.708221, 80
1.42235,-1.40603, 81
0.686596,1.87845, 82
-1.9938,-0.157393, 83
0.972829,-1.74746, 84
1.18412,1.61179, 85
-1.95836,0.405974, 86
0.445815,-1.94968, 87
1.58731,1.21673, 88
-1.76693,0.937001, 89
-0.116712,-1.99659, 90
1.86407,0.724749, 91
-1.43474,1.39339, 92
-0.669942,-1.88446, 93
1.99233,0.175034, 94
-0.988258,1.73878, 95
-1.1698,-1.62221, 96
1.96188,-0.388624, 97
-0.463055,1.94566, 98
-1.57648,-1.23073, 99
1.77515,-0.921325, 100
0.0990351,1.99755, 101
-1.85758,-0.74122, 102
