t,x,y,z
0,3,0,0
0.1,2.98501,0.2995,0.2
0.2,2.9402,0.596008,0.4
0.3,2.86601,0.886561,0.6
0.4,2.76318,1.16826,0.8
0.5,2.63275,1.43828,1
0.6,2.47601,1.69393,1.2
0.7,2.29453,1.93265,1.4
0.8,2.09012,2.15207,1.6
0.9,1.86483,2.34998,1.8
1,1.62091,2.52441,2
1.1,1.36079,2.67362,2.2
1.2,1.08707,2.79612,2.4
1.3,0.802496,2.89067,2.6
1.4,0.509901,2.95635,2.8
1.5,0.212212,2.99248,3
1.6,-0.0875986,2.99872,3.2
1.7,-0.386533,2.97499,3.4
1.8,-0.681606,2.92154,3.6
1.9,-0.969869,2.8389,3.8
2,-1.24844,2.72789,4
2.1,-1.51454,2.58963,4.2
2.2,-1.7655,2.42549,4.4
2.3,-1.99883,2.23712,4.6
2.4,-2.21218,2.02639,4.8
2.5,-2.40343,1.79542,5
2.6,-2.57067,1.5465,5.2
2.7,-2.71222,1.28214,5.4
2.8,-2.82667,1.00496,5.6
2.9,-2.91287,0.717748,5.8
3,-2.96998,0.42336,6
3.1,-2.99741,0.124742,6.2
3.2,-2.99488,-0.175122,6.4
3.3,-2.96244,-0.473237,6.6
3.4,-2.90039,-0.766623,6.8
3.5,-2.80937,-1.05235,7
3.6,-2.69028,-1.32756,7.2
3.7,-2.5443,-1.58951,7.4
3.8,-2.3729,-1.83557,7.6
3.9,-2.1778,-2.0633,7.8
4,-1.96093,-2.27041,8
4.1,-1.72447,-2.45483,8.2
4.2,-1.47078,-2.61473,8.4
4.3,-1.2024,-2.7485,8.6
4.4,-0.921999,-2.85481,8.8
4.5,-0.632387,-2.93259,9
4.6,-0.336458,-2.98107,9.2
4.7,-0.037166,-2.99977,9.4
4.8,0.262497,-2.98849,9.6
4.9,0.559537,-2.94736,9.8
5,0.850987,-2.87677,10
5.1,1.13393,-2.77744,10.2
5.2,1.40555,-2.65036,10.4
5.3,1.66312,-2.4968,10.6
5.4,1.90408,-2.31829,10.8
5.5,2.12601,-2.11662,11
5.6,2.3267,-1.8938,11.2
5.7,2.50414,-1.65206,11.4
5.8,2.65656,-1.39381,11.6
5.9,2.78244,-1.12163,11.8
6,2.88051,-0.838246,12
6.1,2.94981,-0.546488,12.2
6.2,2.98963,-0.249268,12.4
6.3,2.99958,0.0504417,12.6
6.4,2.97955,0.349648,12.8
6.5,2.92976,0.64536,13
6.6,2.8507,0.934624,13.2
6.7,2.74315,1.21455,13.4
6.8,2.60819,1.48234,13.6
6.9,2.44718,1.73532,13.8
7,2.26171,1.97096,14
7.1,2.05364,2.18691,14.2
7.2,1.82505,2.381,14.4
7.3,1.57823,2.55131,14.6
7.4,1.31564,2.69612,14.8
7.5,1.03991,2.814,15
7.6,0.75378,2.90376,15.2
7.7,0.460122,2.9645,15.4
7.8,0.161866,2.99563,15.6
7.9,-0.138006,2.99682,15.8
8,-0.4365,2.96807,16
8.1,-0.730632,2.90967,16.2
8.2,-1.01746,2.82219,16.4
8.3,-1.29413,2.70652,16.6
8.4,-1.55787,2.5638,16.8
8.5,-1.80604,2.39546,17
8.6,-2.03616,2.20319,17.2
8.7,-2.24594,1.98891,17.4
8.8,-2.43328,1.75475,17.6
8.9,-2.59631,1.50306,17.8
9,-2.73339,1.23636,18
9.1,-2.84316,0.957295,18.2
9.2,-2.92453,0.66867,18.4
9.3,-2.97668,0.373363,18.6
9.4,-2.99908,0.0743263,18.8
9.5,-2.99152,-0.225453,19
9.6,-2.95406,-0.52298,19.2
9.7,-2.88709,-0.815282,19.4
9.8,-2.79128,-1.09944,19.6
9.9,-2.66757,-1.37261,19.8
10,-2.51721,-1.63206,20
10.1,-2.3417,-1.87521,20.2
10.2,-2.1428,-2.09962,20.4
10.3,-1.92248,-2.30306,20.6
10.4,-1.68295,-2.48348,20.8
10.5,-1.42661,-2.63909,21
10.6,-1.15601,-2.76833,21.2
10.7,-0.873868,-2.86991,21.4
10.8,-0.58299,-2.94281,21.6
10.9,-0.286287,-2.98631,21.8
11,0.0132771,-2.99997,22
11.1,0.312708,-2.98366,22.2
11.2,0.609015,-2.93753,22.4
11.3,0.899236,-2.86206,22.6
11.4,1.18047,-2.75799,22.8
11.5,1.44991,-2.62636,23
11.6,1.70487,-2.46849,23.2
11.7,1.94279,-2.28595,23.4
11.8,2.1613,-2.08058,23.6
11.9,2.35821,-1.85441,23.8
12,2.53156,-1.60972,24
12.1,2.67962,-1.34894,24.2
12.2,2.8009,-1.07469,24.4
12.3,2.8942,-0.789695,24.6
12.4,2.95858,-0.496813,24.8
12.5,2.99339,-0.198966,25
12.6,2.9983,0.100869,25.2
12.7,2.97325,0.399696,25.4
12.8,2.9185,0.694529,25.6
12.9,2.83458,0.982423,25.8
13,2.72234,1.2605,26
13.1,2.5829,1.52598,26.2
13.2,2.41765,1.77622,26.4
13.3,2.22825,2.00871,26.6
13.4,2.01658,2.22113,26.8
13.5,1.78476,2.41135,27
13.6,1.53511,2.57749,27.2
13.7,1.27012,2.71786,27.4
13.8,0.992445,2.83109,27.6
13.9,0.704849,2.91602,27.8
14,0.410212,2.97182,28
14.1,0.111475,2.99793,28.2
14.2,-0.188375,2.99408,28.4
14.3,-0.486343,2.96032,28.6
14.4,-0.779452,2.89697,28.8
14.5,-1.06477,2.80469,29
14.6,-1.33945,2.68437,29.2
14.7,-1.60075,2.53724,29.4
14.8,-1.84606,2.36476,29.6
14.9,-2.07292,2.16864,29.8
15,-2.27906,1.95086,30
15.1,-2.46244,1.71359,30.2
15.2,-2.62121,1.4592,30.4
15.3,-2.75379,1.19022,30.6
15.4,-2.85886,0.909355,30.8
15.5,-2.93536,0.619402,31
15.6,-2.98253,0.323261,31.2
15.7,-2.9999,0.0238896,31.4
