x,y,z
4.63268e-05,1,0
-0.0997873,0.995009,0.25
-0.198624,0.980076,0.5
-0.295476,0.95535,0.75
-0.389376,0.921079,1
-0.479385,0.877605,1.25
-0.564604,0.825362,1.5
-0.644182,0.764872,1.75
-0.717324,0.69674,2
-0.783298,0.621646,2.25
-0.841446,0.540341,2.5
-0.891186,0.453637,2.75
-0.932022,0.362401,3
-0.963546,0.267543,3.25
-0.985442,0.170013,3.5
-0.997492,0.0707834,3.75
-0.999575,-0.0291532,4
-0.991671,-0.128799,4.25
-0.973858,-0.227157,4.5
-0.946315,-0.323246,4.75
-0.909317,-0.416105,5
-0.863233,-0.504806,5.25
-0.808524,-0.588464,5.5
-0.745736,-0.666241,5.75
-0.675497,-0.737362,6
-0.598509,-0.801116,6.25
-0.515541,-0.856865,6.5
-0.427422,-0.904052,6.75
-0.335032,-0.942207,7
-0.239294,-0.970947,7.25
-0.141166,-0.989986,7.5
-0.0416269,-0.999133,7.75
0.0583279,-0.998297,8
0.1577,-0.987487,8.25
0.255496,-0.96681,8.5
0.35074,-0.936473,8.75
0.442479,-0.896779,9
0.529797,-0.848125,9.25
0.611821,-0.790996,9.5
0.687733,-0.725964,9.75
0.756772,-0.653679,10
0.81825,-0.574862,10.25
0.871553,-0.490301,10.5
0.916147,-0.400842,10.75
0.951588,-0.307377,11
0.97752,-0.210841,11.25
0.993686,-0.112199,11.5
0.999923,-0.012435,11.75
0.996169,0.0874528,12
0.982461,0.186467,12.25
0.958937,0.283618,12.5
0.925832,0.377935,12.75
0.883476,0.468476,13
0.832293,0.554336,13.25
0.772794,0.634657,13.5
0.705573,0.708637,13.75
0.631303,0.775537,14
0.550724,0.834687,14.25
0.464643,0.885498,14.5
0.37392,0.927461,14.75
0.27946,0.960157,15
0.182208,0.98326,15.25
0.0831356,0.996538,15.5
-0.0167676,0.999859,15.75
-0.116503,0.99319,16
-0.215075,0.976598,16.25
-0.311497,0.950247,16.5
-0.404808,0.914402,16.75
-0.494073,0.86942,17
-0.578402,0.815752,17.25
-0.656952,0.753933,17.5
-0.728937,0.68458,17.75
-0.79364,0.608388,18
-0.850412,0.526117,18.25
-0.898688,0.438589,18.5
-0.937984,0.346679,18.75
-0.967908,0.251305,19
-0.988161,0.15342,19.25
-0.998541,0.0540017,19.5
-0.998943,-0.0459558,19.75
-0.989365,-0.145454,20
-0.969901,-0.243499,20.25
-0.940746,-0.339111,20.5
-0.902192,-0.431335,20.75
-0.854623,-0.519249,21
-0.798515,-0.601975,21.25
-0.734429,-0.678686,21.5
-0.663004,-0.748616,21.75
-0.584955,-0.811066,22
-0.501061,-0.865412,22.25
-0.412161,-0.911111,22.5
-0.319142,-0.947707,22.75
-0.222935,-0.974833,23
-0.1245,-0.99222,23.25
-0.0248217,-0.999692,23.5
0.0751049,-0.997176,23.75
0.174281,-0.984696,24
0.271716,-0.962377,24.25
0.366436,-0.930443,24.5
0.457495,-0.889212,24.75
0.543982,-0.839097,25
0.625034,-0.780597,25.25
0.699842,-0.714298,25.5
0.767656,-0.640862,25.75
0.8278,-0.561023,26
0.879674,-0.475578,26.25
0.922758,-0.385381,26.5
0.956622,-0.291334,26.75
0.980927,-0.194375,27
0.995432,-0.095475,27.25
0.99999,0.00437937,27.5
0.994557,0.10419,27.75
0.979187,0.20296,28
0.954033,0.299701,28.25
0.919347,0.393448,28.5
0.875475,0.483264,28.75
0.822855,0.568252,29
0.762014,0.647561,29.25
0.693558,0.7204,29.5
0.618174,0.786042,29.75
0.536612,0.843829,30
0.449689,0.893185,30.25
0.358273,0.933617,30.5
0.263276,0.96472,30.75
0.16565,0.986185,31
0.0663681,0.997795,31.25
-0.0335767,0.999436,31.5
-0.133186,0.991091,31.75
-0.231465,0.972843,32
-0.327431,0.944875,32.25
-0.420125,0.907466,32.5
-0.508622,0.86099,32.75
-0.592036,0.805911,33
-0.669535,0.74278,33.25
-0.740345,0.672227,33.5
-0.803757,0.594958,33.75
-0.859138,0.511744,34
-0.905935,0.423417,34.25
-0.94368,0.330859,34.5
-0.971997,0.234995,34.75
-0.990601,0.136783,35
-0.999308,0.0372047,35.25
-0.99803,-0.0627455,35.5
-0.986779,-0.162069,35.75
-0.96567,-0.259773,36
-0.934911,-0.354881,36.25
-0.894812,-0.446443,36.5
-0.845772,-0.533545,36.75
-0.788281,-0.615316,37
-0.722913,-0.690939,37.25
-0.650323,-0.759658,37.5
-0.571235,-0.820787,37.75
-0.486439,-0.873714,38
-0.396783,-0.917912,38.25
-0.303163,-0.952939,38.5
-0.206513,-0.978444,38.75
-0.1078,-0.994173,39
-0.00800951,-0.999968,39.25
0.0918607,-0.995772,39.5
0.190813,-0.981626,39.75
0.287859,-0.957673,40
0.382029,-0.92415,40.25
0.472381,-0.881394,40.5
0.558014,-0.829832,40.75
0.638071,-0.769978,41
0.711753,-0.70243,41.25
0.778323,-0.627864,41.5
0.837116,-0.547025,41.75
0.887546,-0.46072,42
0.929107,-0.369811,42.25
0.961385,-0.275208,42.5
0.984057,-0.177855,42.75
0.996896,-0.0787244,43
0.999775,0.0211925,43.25
0.992665,0.120898,43.5
0.975636,0.219395,43.75
0.948859,0.3157,44
0.912601,0.40885,44.25
0.867225,0.497916,44.5
0.813184,0.582007,44.75
0.751018,0.660282,45
0.681348,0.73196,45.25
0.60487,0.796324,45.5
0.522348,0.852732,45.75
0.434607,0.90062,46
0.342524,0.939509,46.25
0.247019,0.969011,46.5
0.149045,0.98883,46.75
0.0495819,0.99877,47
-0.0503764,0.99873,47.25
-0.149831,0.988712,47.5
-0.247789,0.968814,47.75
-0.343271,0.939236,48
-0.435324,0.900274,48.25
-0.523026,0.852317,48.5
-0.605503,0.795843,48.75
-0.68193,0.731418,49
-0.751543,0.659684,49.25
-0.813647,0.58136,49.5
-0.867621,0.497226,49.75
-0.912926,0.408124,50
