x,y
0.00000, 2.50000
0.00314, 2.49841
0.00628, 2.49671
0.00942, 2.49492
0.01257, 2.49304
0.01571, 2.49105
0.01885, 2.48896
0.02199, 2.48678
0.02513, 2.48450
0.02827, 2.48212
0.03142, 2.47964
0.03456, 2.47707
0.03770, 2.47439
0.04084, 2.47162
0.04398, 2.46875
0.04712, 2.46579
0.05026, 2.46273
0.05341, 2.45957
0.05655, 2.45631
0.05969, 2.45295
0.06283, 2.44950
0.06597, 2.44596
0.06911, 2.44231
0.07226, 2.43857
0.07540, 2.43474
0.07854, 2.43080
0.08168, 2.42677
0.08482, 2.42265
0.08796, 2.41843
0.09111, 2.41412
0.09425, 2.40971
0.09739, 2.40520
0.10053, 2.40060
0.10367, 2.39590
0.10681, 2.39112
0.10995, 2.38623
0.11310, 2.38125
0.11624, 2.37618
0.11938, 2.37102
0.12252, 2.36576
0.12566, 2.36040
0.12880, 2.35496
0.13195, 2.34942
0.13509, 2.34379
0.13823, 2.33806
0.14137, 2.33225
0.14451, 2.32634
0.14765, 2.32034
0.15079, 2.31425
0.15394, 2.30807
0.15708, 2.30179
0.16022, 2.29543
0.16336, 2.28898
0.16650, 2.28243
0.16964, 2.27580
0.17279, 2.26907
0.17593, 2.26226
0.17907, 2.25535
0.18221, 2.24836
0.18535, 2.24128
0.18849, 2.23411
0.19164, 2.22685
0.19478, 2.21951
0.19792, 2.21207
0.20106, 2.20455
0.20420, 2.19694
0.20734, 2.18925
0.21048, 2.18147
0.21363, 2.17360
0.21677, 2.16565
0.21991, 2.15761
0.22305, 2.14949
0.22619, 2.14128
0.22933, 2.13299
0.23248, 2.12461
0.23562, 2.11615
0.23876, 2.10760
0.24190, 2.09898
0.24504, 2.09027
0.24818, 2.08147
0.25132, 2.07260
0.25447, 2.06364
0.25761, 2.05460
0.26075, 2.04548
0.26389, 2.03628
0.26703, 2.02700
0.27017, 2.01764
0.27332, 2.00820
0.27646, 1.99868
0.27960, 1.98909
0.28274, 1.97941
0.28588, 1.96966
0.28902, 1.95982
0.29217, 1.94991
0.29531, 1.93993
0.29845, 1.92987
0.30159, 1.91973
0.30473, 1.90951
0.30787, 1.89922
0.31101, 1.88886
0.31416, 1.87842
0.31730, 1.86790
0.32044, 1.85731
0.32358, 1.84665
0.32672, 1.83592
0.32986, 1.82511
0.33301, 1.81424
0.33615, 1.80329
0.33929, 1.79227
0.34243, 1.78117
0.34557, 1.77001
0.34871, 1.75878
0.35185, 1.74748
0.35500, 1.73611
0.35814, 1.72467
0.36128, 1.71317
0.36442, 1.70159
0.36756, 1.68995
0.37070, 1.67824
0.37385, 1.66647
0.37699, 1.65463
0.38013, 1.64272
0.38327, 1.63075
0.38641, 1.61872
0.38955, 1.60662
0.39270, 1.59446
0.39584, 1.58224
0.39898, 1.56995
0.40212, 1.55760
0.40526, 1.54519
0.40840, 1.53272
0.41154, 1.52019
0.41469, 1.50760
0.41783, 1.49495
0.42097, 1.48224
0.42411, 1.46947
0.42725, 1.45664
0.43039, 1.44376
0.43354, 1.43081
0.43668, 1.41782
0.43982, 1.40476
0.44296, 1.39166
0.44610, 1.37849
0.44924, 1.36527
0.45238, 1.35200
0.45553, 1.33868
0.45867, 1.32530
0.46181, 1.31187
0.46495, 1.29839
0.46809, 1.28485
0.47123, 1.27127
0.47438, 1.25763
0.47752, 1.24395
0.48066, 1.23022
0.48380, 1.21644
0.48694, 1.20261
0.49008, 1.18873
0.49323, 1.17481
0.49637, 1.16084
0.49951, 1.14682
0.50265, 1.13276
0.50579, 1.11865
0.50893, 1.10450
0.51207, 1.09031
0.51522, 1.07607
0.51836, 1.06179
0.52150, 1.04747
0.52464, 1.03311
0.52778, 1.01871
0.53092, 1.00426
0.53407, 0.98978
0.53721, 0.97526
0.54035, 0.96070
0.54349, 0.94610
0.54663, 0.93147
0.54977, 0.91680
0.55291, 0.90209
0.55606, 0.88734
0.55920, 0.87256
0.56234, 0.85775
0.56548, 0.84290
0.56862, 0.82802
0.57176, 0.81311
0.57491, 0.79816
0.57805, 0.78319
0.58119, 0.76818
0.58433, 0.75314
0.58747, 0.73808
0.59061, 0.72298
0.59376, 0.70785
0.59690, 0.69270
0.60004, 0.67752
0.60318, 0.66231
0.60632, 0.64708
0.60946, 0.63182
0.61260, 0.61654
0.61575, 0.60123
0.61889, 0.58590
0.62203, 0.57054
0.62517, 0.55516
0.62831, 0.53977
0.63145, 0.52434
0.63460, 0.50890
0.63774, 0.49344
0.64088, 0.47796
0.64402, 0.46246
0.64716, 0.44694
0.65030, 0.43141
0.65344, 0.41586
0.65659, 0.40029
0.65973, 0.38470
0.66287, 0.36910
0.66601, 0.35349
0.66915, 0.33786
0.67229, 0.32222
0.67544, 0.30656
0.67858, 0.29090
0.68172, 0.27522
0.68486, 0.25953
0.68800, 0.24383
0.69114, 0.22812
0.69429, 0.21240
0.69743, 0.19668
0.70057, 0.18094
0.70371, 0.16520
0.70685, 0.14945
0.70999, 0.13370
0.71313, 0.11794
0.71628, 0.10218
0.71942, 0.08641
0.72256, 0.07064
0.72570, 0.05487
0.72884, 0.03909
0.73198, 0.02331
0.73513, 0.00754
0.73827,-0.00824
0.74141,-0.02402
0.74455,-0.03980
0.74769,-0.05557
0.75083,-0.07135
0.75397,-0.08712
0.75712,-0.10289
0.76026,-0.11865
0.76340,-0.13441
0.76654,-0.15016
0.76968,-0.16591
0.77282,-0.18165
0.77597,-0.19738
0.77911,-0.21311
0.78225,-0.22883
0.78539,-0.24453
0.78853,-0.26023
0.79167,-0.27592
0.79482,-0.29160
0.79796,-0.30726
0.80110,-0.32292
0.80424,-0.33856
0.80738,-0.35419
0.81052,-0.36980
0.81366,-0.38540
0.81681,-0.40098
0.81995,-0.41655
0.82309,-0.43210
0.82623,-0.44764
0.82937,-0.46316
0.83251,-0.47866
0.83566,-0.49414
0.83880,-0.50960
0.84194,-0.52504
0.84508,-0.54046
0.84822,-0.55585
0.85136,-0.57123
0.85450,-0.58658
0.85765,-0.60191
0.86079,-0.61722
0.86393,-0.63250
0.86707,-0.64776
0.87021,-0.66299
0.87335,-0.67820
0.87650,-0.69338
0.87964,-0.70853
0.88278,-0.72365
0.88592,-0.73875
0.88906,-0.75381
0.89220,-0.76885
0.89534,-0.78386
0.89849,-0.79883
0.90163,-0.81378
0.90477,-0.82869
0.90791,-0.84357
0.91105,-0.85841
0.91419,-0.87322
0.91734,-0.88800
0.92048,-0.90274
0.92362,-0.91745
0.92676,-0.93212
0.92990,-0.94675
0.93304,-0.96135
0.93619,-0.97591
0.93933,-0.99043
0.94247,-1.00491
0.94561,-1.01935
0.94875,-1.03375
0.95189,-1.04811
0.95503,-1.06243
0.95818,-1.07670
0.96132,-1.09094
0.96446,-1.10513
0.96760,-1.11928
0.97074,-1.13338
0.97388,-1.14744
0.97703,-1.16145
0.98017,-1.17542
0.98331,-1.18934
0.98645,-1.20321
0.98959,-1.21704
0.99273,-1.23082
0.99587,-1.24455
0.99902,-1.25823
1.00216,-1.27186
1.00530,-1.28544
1.00844,-1.29897
1.01158,-1.31245
1.01472,-1.32588
1.01787,-1.33925
1.02101,-1.35258
1.02415,-1.36584
1.02729,-1.37906
1.03043,-1.39222
1.03357,-1.40532
1.03672,-1.41837
1.03986,-1.43137
1.04300,-1.44431
1.04614,-1.45719
1.04928,-1.47001
1.05242,-1.48278
1.05556,-1.49548
1.05871,-1.50813
1.06185,-1.52072
1.06499,-1.53325
1.06813,-1.54571
1.07127,-1.55812
1.07441,-1.57046
1.07756,-1.58275
1.08070,-1.59497
1.08384,-1.60713
1.08698,-1.61922
1.09012,-1.63125
1.09326,-1.64322
1.09640,-1.65512
1.09955,-1.66695
1.10269,-1.67872
1.10583,-1.69043
1.10897,-1.70206
1.11211,-1.71363
1.11525,-1.72514
1.11840,-1.73657
1.12154,-1.74794
1.12468,-1.75923
1.12782,-1.77046
1.13096,-1.78162
1.13410,-1.79270
1.13725,-1.80372
1.14039,-1.81467
1.14353,-1.82554
1.14667,-1.83634
1.14981,-1.84707
1.15295,-1.85773
1.15609,-1.86831
1.15924,-1.87882
1.16238,-1.88926
1.16552,-1.89962
1.16866,-1.90990
1.17180,-1.92011
1.17494,-1.93025
1.17809,-1.94031
1.18123,-1.95029
1.18437,-1.96019
1.18751,-1.97002
1.19065,-1.97977
1.19379,-1.98944
1.19693,-1.99903
1.20008,-2.00855
1.20322,-2.01798
1.20636,-2.02734
1.20950,-2.03661
1.21264,-2.04581
1.21578,-2.05492
1.21893,-2.06396
1.22207,-2.07291
1.22521,-2.08178
1.22835,-2.09057
1.23149,-2.09927
1.23463,-2.10789
1.23778,-2.11643
1.24092,-2.12489
1.24406,-2.13326
1.24720,-2.14155
1.25034,-2.14975
1.25348,-2.15787
1.25662,-2.16590
1.25977,-2.17385
1.26291,-2.18171
1.26605,-2.18949
1.26919,-2.19718
1.27233,-2.20478
1.27547,-2.21230
1.27862,-2.21973
1.28176,-2.22707
1.28490,-2.23432
1.28804,-2.24149
1.29118,-2.24856
1.29432,-2.25555
1.29746,-2.26245
1.30061,-2.26926
1.30375,-2.27598
1.30689,-2.28261
1.31003,-2.28915
1.31317,-2.29560
1.31631,-2.30196
1.31946,-2.30823
1.32260,-2.31441
1.32574,-2.32049
1.32888,-2.32649
1.33202,-2.33239
1.33516,-2.33820
1.33831,-2.34392
1.34145,-2.34955
1.34459,-2.35508
1.34773,-2.36052
1.35087,-2.36587
1.35401,-2.37112
1.35715,-2.37628
1.36030,-2.38135
1.36344,-2.38632
1.36658,-2.39120
1.36972,-2.39599
1.37286,-2.40068
1.37600,-2.40527
1.37915,-2.40977
1.38229,-2.41418
1.38543,-2.41848
1.38857,-2.42270
1.39171,-2.42682
1.39485,-2.43084
1.39799,-2.43477
1.40114,-2.43860
1.40428,-2.44233
1.40742,-2.44597
1.41056,-2.44951
1.41370,-2.45296
1.41684,-2.45631
1.41999,-2.45956
1.42313,-2.46271
1.42627,-2.46577
1.42941,-2.46873
1.43255,-2.47159
1.43569,-2.47436
1.43884,-2.47702
1.44198,-2.47959
1.44512,-2.48206
1.44826,-2.48444
1.45140,-2.48671
1.45454,-2.48889
1.45768,-2.49097
1.46083,-2.49295
1.46397,-2.49484
1.46711,-2.49662
1.47025,-2.49831
1.47339,-2.49989
1.47653,-2.50138
1.47968,-2.50277
1.48282,-2.50406
1.48596,-2.50526
1.48910,-2.50635
1.49224,-2.50734
1.49538,-2.50824
1.49852,-2.50904
1.50167,-2.50973
1.50481,-2.51033
1.50795,-2.51083
1.51109,-2.51123
1.51423,-2.51153
1.51737,-2.51173
1.52052,-2.51184
1.52366,-2.51184
1.52680,-2.51174
1.52994,-2.51155
1.53308,-2.51126
1.53622,-2.51086
1.53937,-2.51037
1.54251,-2.50978
1.54565,-2.50909
