x,y
0.00000,10.00000
0.00157, 9.98198
0.00314, 9.96379
0.00471, 9.94544
0.00628, 9.92692
0.00785, 9.90824
0.00942, 9.88939
0.01099, 9.87038
0.01256, 9.85120
0.01413, 9.83186
0.01570, 9.81236
0.01727, 9.79269
0.01884, 9.77287
0.02041, 9.75288
0.02198, 9.73274
0.02355, 9.71243
0.02513, 9.69197
0.02670, 9.67135
0.02827, 9.65057
0.02984, 9.62964
0.03141, 9.60855
0.03298, 9.58731
0.03455, 9.56591
0.03612, 9.54435
0.03769, 9.52265
0.03926, 9.50079
0.04083, 9.47878
0.04240, 9.45662
0.04397, 9.43430
0.04554, 9.41184
0.04711, 9.38923
0.04868, 9.36647
0.05025, 9.34356
0.05182, 9.32051
0.05339, 9.29731
0.05496, 9.27396
0.05653, 9.25047
0.05810, 9.22683
0.05967, 9.20305
0.06124, 9.17912
0.06281, 9.15506
0.06438, 9.13085
0.06595, 9.10650
0.06752, 9.08201
0.06909, 9.05738
0.07066, 9.03261
0.07223, 9.00770
0.07381, 8.98265
0.07538, 8.95747
0.07695, 8.93215
0.07852, 8.90670
0.08009, 8.88111
0.08166, 8.85538
0.08323, 8.82953
0.08480, 8.80354
0.08637, 8.77742
0.08794, 8.75116
0.08951, 8.72478
0.09108, 8.69827
0.09265, 8.67163
0.09422, 8.64486
0.09579, 8.61797
0.09736, 8.59095
0.09893, 8.56380
0.10050, 8.53653
0.10207, 8.50913
0.10364, 8.48161
0.10521, 8.45397
0.10678, 8.42620
0.10835, 8.39831
0.10992, 8.37031
0.11149, 8.34218
0.11306, 8.31393
0.11463, 8.28557
0.11620, 8.25709
0.11777, 8.22849
0.11934, 8.19977
0.12092, 8.17094
0.12249, 8.14199
0.12406, 8.11293
0.12563, 8.08376
0.12720, 8.05447
0.12877, 8.02507
0.13034, 7.99556
0.13191, 7.96594
0.13348, 7.93621
0.13505, 7.90637
0.13662, 7.87643
0.13819, 7.84637
0.13976, 7.81621
0.14133, 7.78594
0.14290, 7.75557
0.14447, 7.72509
0.14604, 7.69451
0.14761, 7.66383
0.14918, 7.63304
0.15075, 7.60216
0.15232, 7.57117
0.15389, 7.54009
0.15546, 7.50890
0.15703, 7.47762
0.15860, 7.44624
0.16017, 7.41476
0.16174, 7.38318
0.16331, 7.35151
0.16488, 7.31975
0.16645, 7.28789
0.16802, 7.25594
0.16960, 7.22390
0.17117, 7.19177
0.17274, 7.15955
0.17431, 7.12723
0.17588, 7.09483
0.17745, 7.06234
0.17902, 7.02976
0.18059, 6.99710
0.18216, 6.96435
0.18373, 6.93151
0.18530, 6.89859
0.18687, 6.86559
0.18844, 6.83250
0.19001, 6.79933
0.19158, 6.76609
0.19315, 6.73276
0.19472, 6.69935
0.19629, 6.66586
0.19786, 6.63229
0.19943, 6.59865
0.20100, 6.56493
0.20257, 6.53114
0.20414, 6.49727
0.20571, 6.46332
0.20728, 6.42931
0.20885, 6.39522
0.21042, 6.36106
0.21199, 6.32682
0.21356, 6.29252
0.21513, 6.25815
0.21670, 6.22371
0.21828, 6.18920
0.21985, 6.15463
0.22142, 6.11999
0.22299, 6.08528
0.22456, 6.05051
0.22613, 6.01567
0.22770, 5.98078
0.22927, 5.94581
0.23084, 5.91079
0.23241, 5.87571
0.23398, 5.84056
0.23555, 5.80536
0.23712, 5.77010
0.23869, 5.73478
0.24026, 5.69940
0.24183, 5.66397
0.24340, 5.62848
0.24497, 5.59294
0.24654, 5.55734
0.24811, 5.52170
0.24968, 5.48599
0.25125, 5.45024
0.25282, 5.41444
0.25439, 5.37858
0.25596, 5.34268
0.25753, 5.30673
0.25910, 5.27073
0.26067, 5.23469
0.26224, 5.19860
0.26381, 5.16246
0.26538, 5.12628
0.26696, 5.09006
0.26853, 5.05379
0.27010, 5.01748
0.27167, 4.98113
0.27324, 4.94474
0.27481, 4.90831
0.27638, 4.87184
0.27795, 4.83533
0.27952, 4.79879
0.28109, 4.76221
0.28266, 4.72559
0.28423, 4.68894
0.28580, 4.65225
0.28737, 4.61553
0.28894, 4.57878
0.29051, 4.54199
0.29208, 4.50517
0.29365, 4.46832
0.29522, 4.43145
0.29679, 4.39454
0.29836, 4.35761
0.29993, 4.32064
0.30150, 4.28366
0.30307, 4.24664
0.30464, 4.20960
0.30621, 4.17254
0.30778, 4.13545
0.30935, 4.09834
0.31092, 4.06121
0.31249, 4.02405
0.31407, 3.98688
0.31564, 3.94968
0.31721, 3.91247
0.31878, 3.87524
0.32035, 3.83799
0.32192, 3.80072
0.32349, 3.76344
0.32506, 3.72614
0.32663, 3.68883
0.32820, 3.65150
0.32977, 3.61416
0.33134, 3.57681
0.33291, 3.53945
0.33448, 3.50207
0.33605, 3.46469
0.33762, 3.42730
0.33919, 3.38990
0.34076, 3.35249
0.34233, 3.31507
0.34390, 3.27765
0.34547, 3.24022
0.34704, 3.20279
0.34861, 3.16535
0.35018, 3.12791
0.35175, 3.09047
0.35332, 3.05302
0.35489, 3.01558
0.35646, 2.97813
0.35803, 2.94069
0.35960, 2.90324
0.36117, 2.86580
0.36275, 2.82836
0.36432, 2.79093
0.36589, 2.75350
0.36746, 2.71607
0.36903, 2.67865
0.37060, 2.64123
0.37217, 2.60383
0.37374, 2.56643
0.37531, 2.52903
0.37688, 2.49165
0.37845, 2.45428
0.38002, 2.41692
0.38159, 2.37957
0.38316, 2.34223
0.38473, 2.30490
0.38630, 2.26759
0.38787, 2.23029
0.38944, 2.19300
0.39101, 2.15574
0.39258, 2.11848
0.39415, 2.08125
0.39572, 2.04403
0.39729, 2.00683
0.39886, 1.96965
0.40043, 1.93249
0.40200, 1.89535
0.40357, 1.85823
0.40514, 1.82114
0.40671, 1.78406
0.40828, 1.74701
0.40985, 1.70998
0.41143, 1.67298
0.41300, 1.63600
0.41457, 1.59905
0.41614, 1.56213
0.41771, 1.52523
0.41928, 1.48836
0.42085, 1.45152
