x,y
0.00000,10.00000
0.00157, 9.99240
0.00314, 9.98471
0.00471, 9.97693
0.00628, 9.96907
0.00785, 9.96112
0.00942, 9.95309
0.01099, 9.94497
0.01256, 9.93677
0.01413, 9.92848
0.01570, 9.92011
0.01727, 9.91165
0.01884, 9.90311
0.02041, 9.89448
0.02198, 9.88578
0.02355, 9.87698
0.02513, 9.86811
0.02670, 9.85915
0.02827, 9.85011
0.02984, 9.84099
0.03141, 9.83179
0.03298, 9.82250
0.03455, 9.81313
0.03612, 9.80368
0.03769, 9.79414
0.03926, 9.78453
0.04083, 9.77483
0.04240, 9.76506
0.04397, 9.75520
0.04554, 9.74526
0.04711, 9.73524
0.04868, 9.72514
0.05025, 9.71496
0.05182, 9.70471
0.05339, 9.69437
0.05496, 9.68395
0.05653, 9.67346
0.05810, 9.66288
0.05967, 9.65223
0.06124, 9.64150
0.06281, 9.63069
0.06438, 9.61981
0.06595, 9.60884
0.06752, 9.59780
0.06909, 9.58668
0.07066, 9.57549
0.07223, 9.56422
0.07381, 9.55287
0.07538, 9.54145
0.07695, 9.52995
0.07852, 9.51838
0.08009, 9.50673
0.08166, 9.49501
0.08323, 9.48321
0.08480, 9.47133
0.08637, 9.45938
0.08794, 9.44736
0.08951, 9.43526
0.09108, 9.42309
0.09265, 9.41085
0.09422, 9.39853
0.09579, 9.38614
0.09736, 9.37367
0.09893, 9.36113
0.10050, 9.34852
0.10207, 9.33584
0.10364, 9.32308
0.10521, 9.31025
0.10678, 9.29736
0.10835, 9.28439
0.10992, 9.27135
0.11149, 9.25824
0.11306, 9.24505
0.11463, 9.23180
0.11620, 9.21848
0.11777, 9.20509
0.11934, 9.19163
0.12092, 9.17810
0.12249, 9.16451
0.12406, 9.15084
0.12563, 9.13710
0.12720, 9.12330
0.12877, 9.10943
0.13034, 9.09549
0.13191, 9.08148
0.13348, 9.06741
0.13505, 9.05327
0.13662, 9.03906
0.13819, 9.02478
0.13976, 9.01044
0.14133, 8.99603
0.14290, 8.98156
0.14447, 8.96702
0.14604, 8.95242
0.14761, 8.93775
0.14918, 8.92301
0.15075, 8.90821
0.15232, 8.89335
0.15389, 8.87843
0.15546, 8.86343
0.15703, 8.84838
0.15860, 8.83326
0.16017, 8.81808
0.16174, 8.80284
0.16331, 8.78754
0.16488, 8.77217
0.16645, 8.75674
0.16802, 8.74125
0.16960, 8.72570
0.17117, 8.71009
0.17274, 8.69441
0.17431, 8.67868
0.17588, 8.66288
0.17745, 8.64703
0.17902, 8.63111
0.18059, 8.61514
0.18216, 8.59910
0.18373, 8.58301
0.18530, 8.56686
0.18687, 8.55064
0.18844, 8.53437
0.19001, 8.51805
0.19158, 8.50166
0.19315, 8.48521
0.19472, 8.46871
0.19629, 8.45215
0.19786, 8.43554
0.19943, 8.41886
0.20100, 8.40213
0.20257, 8.38535
0.20414, 8.36851
0.20571, 8.35161
0.20728, 8.33466
0.20885, 8.31765
0.21042, 8.30059
0.21199, 8.28347
0.21356, 8.26630
0.21513, 8.24907
0.21670, 8.23179
0.21828, 8.21446
0.21985, 8.19707
0.22142, 8.17963
0.22299, 8.16213
0.22456, 8.14459
0.22613, 8.12699
0.22770, 8.10933
0.22927, 8.09163
0.23084, 8.07387
0.23241, 8.05607
0.23398, 8.03821
0.23555, 8.02030
0.23712, 8.00234
0.23869, 7.98433
0.24026, 7.96627
0.24183, 7.94816
0.24340, 7.93000
0.24497, 7.91179
0.24654, 7.89353
0.24811, 7.87523
0.24968, 7.85687
0.25125, 7.83847
0.25282, 7.82001
0.25439, 7.80151
0.25596, 7.78296
0.25753, 7.76437
