x,y
0.00000,10.00000
0.00157, 9.98313
0.00314, 9.96619
0.00471, 9.94918
0.00628, 9.93210
0.00785, 9.91494
0.00942, 9.89772
0.01099, 9.88043
0.01256, 9.86306
0.01413, 9.84563
0.01570, 9.82812
0.01727, 9.81055
0.01884, 9.79291
0.02041, 9.77520
0.02198, 9.75742
0.02355, 9.73957
0.02513, 9.72166
0.02670, 9.70368
0.02827, 9.68563
0.02984, 9.66752
0.03141, 9.64934
0.03298, 9.63109
0.03455, 9.61278
0.03612, 9.59440
0.03769, 9.57595
0.03926, 9.55744
0.04083, 9.53887
0.04240, 9.52023
0.04397, 9.50152
0.04554, 9.48275
0.04711, 9.46392
0.04868, 9.44502
0.05025, 9.42606
0.05182, 9.40704
0.05339, 9.38796
0.05496, 9.36881
0.05653, 9.34960
0.05810, 9.33033
0.05967, 9.31100
0.06124, 9.29160
0.06281, 9.27215
0.06438, 9.25263
0.06595, 9.23306
0.06752, 9.21342
0.06909, 9.19372
0.07066, 9.17397
0.07223, 9.15415
0.07381, 9.13428
0.07538, 9.11435
0.07695, 9.09436
0.07852, 9.07432
0.08009, 9.05421
0.08166, 9.03405
0.08323, 9.01383
0.08480, 8.99356
0.08637, 8.97322
0.08794, 8.95283
0.08951, 8.93239
0.09108, 8.91189
0.09265, 8.89133
0.09422, 8.87072
0.09579, 8.85005
0.09736, 8.82932
0.09893, 8.80855
0.10050, 8.78771
0.10207, 8.76683
0.10364, 8.74589
0.10521, 8.72490
0.10678, 8.70385
0.10835, 8.68276
0.10992, 8.66160
0.11149, 8.64040
0.11306, 8.61915
0.11463, 8.59785
0.11620, 8.57649
0.11777, 8.55508
0.11934, 8.53363
0.12092, 8.51212
0.12249, 8.49056
0.12406, 8.46896
0.12563, 8.44730
0.12720, 8.42560
0.12877, 8.40384
0.13034, 8.38204
0.13191, 8.36019
0.13348, 8.33829
0.13505, 8.31635
0.13662, 8.29436
0.13819, 8.27231
0.13976, 8.25023
0.14133, 8.22809
0.14290, 8.20591
0.14447, 8.18369
0.14604, 8.16142
0.14761, 8.13910
0.14918, 8.11674
0.15075, 8.09433
0.15232, 8.07189
0.15389, 8.04939
0.15546, 8.02685
0.15703, 8.00427
0.15860, 7.98165
0.16017, 7.95898
0.16174, 7.93627
0.16331, 7.91352
0.16488, 7.89073
0.16645, 7.86789
0.16802, 7.84502
0.16960, 7.82210
0.17117, 7.79914
0.17274, 7.77614
0.17431, 7.75310
0.17588, 7.73003
0.17745, 7.70691
0.17902, 7.68375
0.18059, 7.66055
0.18216, 7.63732
0.18373, 7.61404
0.18530, 7.59073
0.18687, 7.56738
0.18844, 7.54399
0.19001, 7.52057
0.19158, 7.49710
0.19315, 7.47360
0.19472, 7.45007
0.19629, 7.42650
0.19786, 7.40289
0.19943, 7.37925
0.20100, 7.35557
0.20257, 7.33185
0.20414, 7.30810
0.20571, 7.28432
0.20728, 7.26050
0.20885, 7.23665
0.21042, 7.21277
0.21199, 7.18885
0.21356, 7.16490
0.21513, 7.14092
0.21670, 7.11690
0.21828, 7.09285
0.21985, 7.06877
0.22142, 7.04466
0.22299, 7.02051
0.22456, 6.99634
0.22613, 6.97213
0.22770, 6.94789
0.22927, 6.92363
0.23084, 6.89933
0.23241, 6.87500
0.23398, 6.85065
0.23555, 6.82626
0.23712, 6.80185
0.23869, 6.77741
0.24026, 6.75294
0.24183, 6.72844
0.24340, 6.70391
0.24497, 6.67936
0.24654, 6.65478
0.24811, 6.63017
0.24968, 6.60554
0.25125, 6.58088
0.25282, 6.55619
0.25439, 6.53148
0.25596, 6.50674
0.25753, 6.48198
0.25910, 6.45719
0.26067, 6.43238
0.26224, 6.40755
0.26381, 6.38269
0.26538, 6.35781
0.26696, 6.33290
0.26853, 6.30797
0.27010, 6.28302
0.27167, 6.25804
0.27324, 6.23304
0.27481, 6.20802
0.27638, 6.18298
0.27795, 6.15792
0.27952, 6.13284
0.28109, 6.10773
0.28266, 6.08261
0.28423, 6.05746
0.28580, 6.03230
0.28737, 6.00711
0.28894, 5.98191
0.29051, 5.95668
0.29208, 5.93144
0.29365, 5.90617
0.29522, 5.88089
0.29679, 5.85560
