x,y
0.00000,10.00000
0.00157, 9.86009
0.00314, 9.72204
0.00471, 9.58583
0.00628, 9.45145
0.00785, 9.31885
0.00942, 9.18803
0.01099, 9.05895
0.01256, 8.93159
0.01413, 8.80593
0.01570, 8.68195
0.01727, 8.55962
0.01884, 8.43892
0.02041, 8.31984
0.02198, 8.20234
0.02355, 8.08642
0.02513, 7.97204
0.02670, 7.85918
0.02827, 7.74784
0.02984, 7.63798
0.03141, 7.52958
0.03298, 7.42264
0.03455, 7.31712
0.03612, 7.21300
0.03769, 7.11028
0.03926, 7.00894
0.04083, 6.90894
0.04240, 6.81028
0.04397, 6.71294
0.04554, 6.61690
0.04711, 6.52214
0.04868, 6.42865
0.05025, 6.33640
0.05182, 6.24539
0.05339, 6.15559
0.05496, 6.06700
0.05653, 5.97958
0.05810, 5.89334
0.05967, 5.80825
0.06124, 5.72429
0.06281, 5.64145
0.06438, 5.55973
0.06595, 5.47909
0.06752, 5.39954
0.06909, 5.32104
0.07066, 5.24360
0.07223, 5.16719
0.07381, 5.09181
0.07538, 5.01743
0.07695, 4.94404
0.07852, 4.87164
0.08009, 4.80021
0.08166, 4.72973
0.08323, 4.66019
0.08480, 4.59159
0.08637, 4.52390
0.08794, 4.45712
0.08951, 4.39123
0.09108, 4.32622
0.09265, 4.26208
0.09422, 4.19880
0.09579, 4.13637
0.09736, 4.07477
0.09893, 4.01400
0.10050, 3.95404
0.10207, 3.89488
0.10364, 3.83652
0.10521, 3.77893
0.10678, 3.72212
0.10835, 3.66607
0.10992, 3.61077
0.11149, 3.55621
0.11306, 3.50238
0.11463, 3.44927
0.11620, 3.39687
0.11777, 3.34518
0.11934, 3.29417
0.12092, 3.24386
0.12249, 3.19421
0.12406, 3.14523
0.12563, 3.09691
0.12720, 3.04924
0.12877, 3.00220
0.13034, 2.95579
0.13191, 2.91001
0.13348, 2.86484
0.13505, 2.82028
0.13662, 2.77631
0.13819, 2.73294
0.13976, 2.69015
0.14133, 2.64793
0.14290, 2.60627
0.14447, 2.56518
0.14604, 2.52464
0.14761, 2.48464
0.14918, 2.44518
0.15075, 2.40624
0.15232, 2.36784
0.15389, 2.32994
0.15546, 2.29256
0.15703, 2.25568
0.15860, 2.21929
0.16017, 2.18339
0.16174, 2.14798
0.16331, 2.11304
0.16488, 2.07857
0.16645, 2.04456
0.16802, 2.01101
0.16960, 1.97791
0.17117, 1.94526
0.17274, 1.91304
0.17431, 1.88126
0.17588, 1.84991
0.17745, 1.81898
0.17902, 1.78846
0.18059, 1.75835
0.18216, 1.72865
0.18373, 1.69935
0.18530, 1.67045
0.18687, 1.64193
0.18844, 1.61380
0.19001, 1.58604
0.19158, 1.55867
0.19315, 1.53165
0.19472, 1.50501
0.19629, 1.47872
0.19786, 1.45279
0.19943, 1.42720
0.20100, 1.40196
0.20257, 1.37707
0.20414, 1.35250
0.20571, 1.32827
0.20728, 1.30437
0.20885, 1.28079
0.21042, 1.25753
0.21199, 1.23458
0.21356, 1.21194
0.21513, 1.18960
0.21670, 1.16757
0.21828, 1.14584
0.21985, 1.12440
0.22142, 1.10325
0.22299, 1.08238
0.22456, 1.06180
0.22613, 1.04150
0.22770, 1.02147
0.22927, 1.00171
0.23084, 0.98222
0.23241, 0.96299
0.23398, 0.94403
0.23555, 0.92532
0.23712, 0.90686
0.23869, 0.88866
0.24026, 0.87070
0.24183, 0.85298
0.24340, 0.83550
0.24497, 0.81827
0.24654, 0.80126
0.24811, 0.78449
0.24968, 0.76794
0.25125, 0.75162
0.25282, 0.73552
0.25439, 0.71964
0.25596, 0.70398
0.25753, 0.68852
0.25910, 0.67328
0.26067, 0.65825
0.26224, 0.64342
0.26381, 0.62879
0.26538, 0.61436
0.26696, 0.60013
0.26853, 0.58609
0.27010, 0.57224
0.27167, 0.55858
0.27324, 0.54511
0.27481, 0.53182
0.27638, 0.51871
0.27795, 0.50578
0.27952, 0.49303
0.28109, 0.48045
0.28266, 0.46804
0.28423, 0.45581
0.28580, 0.44374
0.28737, 0.43183
0.28894, 0.42009
0.29051, 0.40851
0.29208, 0.39709
0.29365, 0.38582
0.29522, 0.37471
0.29679, 0.36375
0.29836, 0.35294
0.29993, 0.34228
0.30150, 0.33176
0.30307, 0.32139
0.30464, 0.31116
0.30621, 0.30108
0.30778, 0.29113
0.30935, 0.28131
0.31092, 0.27164
0.31249, 0.26209
0.31407, 0.25268
0.31564, 0.24339
0.31721, 0.23424
0.31878, 0.22521
0.32035, 0.21630
0.32192, 0.20752
0.32349, 0.19886
0.32506, 0.19032
0.32663, 0.18190
0.32820, 0.17359
0.32977, 0.16540
0.33134, 0.15732
0.33291, 0.14935
0.33448, 0.14150
0.33605, 0.13375
0.33762, 0.12611
