x,y
0.00000,10.00000
0.00314, 8.92207
0.00628, 7.84380
0.00942, 6.76524
0.01256, 5.68643
0.01570, 4.60743
0.01884, 3.52826
0.02198, 2.44897
0.02513, 1.36960
0.02827, 0.29020
0.03141,-0.78920
0.03455,-1.86854
0.03769,-2.94779
0.04083,-4.02690
0.04397,-5.10584
0.04711,-6.18455
0.05025,-7.26300
0.05339,-8.34114
0.05653,-9.41894
0.05967,-10.49634
0.06281,-11.57331
0.06595,-12.64981
0.06909,-13.72578
0.07223,-14.80120
0.07538,-15.87601
0.07852,-16.95017
0.08166,-18.02365
0.08480,-19.09639
0.08794,-20.16837
0.09108,-21.23952
0.09422,-22.30983
0.09736,-23.37923
0.10050,-24.44769
0.10364,-25.51516
0.10678,-26.58161
0.10992,-27.64700
0.11306,-28.71127
0.11620,-29.77438
0.11934,-30.83631
0.12249,-31.89699
0.12563,-32.95640
0.12877,-34.01449
0.13191,-35.07121
0.13505,-36.12654
0.13819,-37.18042
0.14133,-38.23281
0.14447,-39.28367
0.14761,-40.33297
0.15075,-41.38066
0.15389,-42.42671
0.15703,-43.47106
0.16017,-44.51367
0.16331,-45.55450
0.16645,-46.59352
0.16960,-47.63069
0.17274,-48.66596
0.17588,-49.69929
0.17902,-50.73064
0.18216,-51.75997
0.18530,-52.78723
0.18844,-53.81239
0.19158,-54.83541
0.19472,-55.85625
0.19786,-56.87486
0.20100,-57.89121
0.20414,-58.90525
0.20728,-59.91696
0.21042,-60.92627
0.21356,-61.93317
0.21670,-62.93759
0.21985,-63.93952
0.22299,-64.93890
0.22613,-65.93571
0.22927,-66.92989
0.23241,-67.92142
0.23555,-68.91024
0.23869,-69.89633
0.24183,-70.87965
0.24497,-71.86015
0.24811,-72.83779
0.25125,-73.81254
0.25439,-74.78436
0.25753,-75.75320
0.26067,-76.71904
0.26381,-77.68183
0.26696,-78.64153
0.27010,-79.59812
0.27324,-80.55156
0.27638,-81.50181
0.27952,-82.44882
0.28266,-83.39256
0.28580,-84.33298
0.28894,-85.27007
0.29208,-86.20377
0.29522,-87.13403
0.29836,-88.06085
0.30150,-88.98418
0.30464,-89.90398
0.30778,-90.82021
0.31092,-91.73284
0.31407,-92.64182
0.31721,-93.54713
0.32035,-94.44874
0.32349,-95.34660
0.32663,-96.24068
0.32977,-97.13094
0.33291,-98.01735
0.33605,-98.89989
0.33919,-99.77851
0.34233,-100.65318
0.34547,-101.52386
0.34861,-102.39052
0.35175,-103.25312
0.35489,-104.11163
0.35803,-104.96602
0.36117,-105.81625
0.36432,-106.66230
0.36746,-107.50412
0.37060,-108.34167
0.37374,-109.17494
0.37688,-110.00388
0.38002,-110.82845
0.38316,-111.64864
0.38630,-112.46442
0.38944,-113.27573
0.39258,-114.08255
0.39572,-114.88486
0.39886,-115.68261
0.40200,-116.47578
0.40514,-117.26434
0.40828,-118.04827
0.41143,-118.82752
0.41457,-119.60207
0.41771,-120.37189
0.42085,-121.13694
0.42399,-121.89719
0.42713,-122.65261
0.43027,-123.40318
0.43341,-124.14885
0.43655,-124.88960
0.43969,-125.62543
0.44283,-126.35628
0.44597,-127.08213
0.44911,-127.80296
0.45225,-128.51871
0.45539,-129.22939
0.45853,-129.93495
0.46168,-130.63536
0.46482,-131.33061
0.46796,-132.02065
0.47110,-132.70546
0.47424,-133.38503
0.47738,-134.05933
0.48052,-134.72832
0.48366,-135.39197
0.48680,-136.05028
0.48994,-136.70320
0.49308,-137.35072
0.49622,-137.99280
0.49936,-138.62941
0.50250,-139.26054
0.50564,-139.88617
0.50879,-140.50629
0.51193,-141.12083
0.51507,-141.72981
0.51821,-142.33318
