x,y
0.00000,10.00000
0.00314,10.23027
0.00628,10.46036
0.00942,10.69026
0.01256,10.91997
0.01570,11.14948
0.01884,11.37880
0.02198,11.60791
0.02513,11.83682
0.02827,12.06551
0.03141,12.29398
0.03455,12.52223
0.03769,12.75026
0.04083,12.97805
0.04397,13.20561
0.04711,13.43293
0.05025,13.66000
0.05339,13.88683
0.05653,14.11340
0.05967,14.33971
0.06281,14.56576
0.06595,14.79155
0.06909,15.01706
0.07223,15.24230
0.07538,15.46725
0.07852,15.69192
0.08166,15.91631
0.08480,16.14040
0.08794,16.36419
0.09108,16.58768
0.09422,16.81087
0.09736,17.03374
0.10050,17.25630
0.10364,17.47853
0.10678,17.70044
0.10992,17.92203
0.11306,18.14328
0.11620,18.36419
0.11934,18.58477
0.12249,18.80499
0.12563,19.02487
0.12877,19.24439
0.13191,19.46355
0.13505,19.68235
0.13819,19.90079
0.14133,20.11884
0.14447,20.33652
0.14761,20.55383
0.15075,20.77074
0.15389,20.98727
0.15703,21.20341
0.16017,21.41914
0.16331,21.63448
0.16645,21.84940
0.16960,22.06392
0.17274,22.27802
0.17588,22.49170
0.17902,22.70496
0.18216,22.91780
0.18530,23.13020
0.18844,23.34217
0.19158,23.55369
0.19472,23.76477
0.19786,23.97540
0.20100,24.18558
0.20414,24.39530
0.20728,24.60457
0.21042,24.81336
0.21356,25.02169
0.21670,25.22954
0.21985,25.43692
0.22299,25.64381
0.22613,25.85022
0.22927,26.05614
0.23241,26.26156
0.23555,26.46649
0.23869,26.67092
0.24183,26.87484
0.24497,27.07825
0.24811,27.28115
0.25125,27.48353
0.25439,27.68538
0.25753,27.88671
0.26067,28.08752
0.26381,28.28779
0.26696,28.48752
0.27010,28.68671
0.27324,28.88535
0.27638,29.08345
0.27952,29.28099
0.28266,29.47797
0.28580,29.67439
0.28894,29.87025
0.29208,30.06553
0.29522,30.26024
0.29836,30.45438
0.30150,30.64794
0.30464,30.84091
0.30778,31.03329
0.31092,31.22508
0.31407,31.41627
0.31721,31.60687
0.32035,31.79686
0.32349,31.98625
0.32663,32.17502
0.32977,32.36318
0.33291,32.55072
0.33605,32.73763
0.33919,32.92392
0.34233,33.10958
0.34547,33.29460
0.34861,33.47898
0.35175,33.66273
0.35489,33.84583
0.35803,34.02828
0.36117,34.21008
0.36432,34.39122
0.36746,34.57170
0.37060,34.75153
0.37374,34.93068
0.37688,35.10916
0.38002,35.28696
0.38316,35.46410
0.38630,35.64054
0.38944,35.81631
0.39258,35.99139
0.39572,36.16578
0.39886,36.33947
0.40200,36.51246
0.40514,36.68476
0.40828,36.85635
0.41143,37.02723
0.41457,37.19739
0.41771,37.36684
0.42085,37.53558
0.42399,37.70359
0.42713,37.87087
0.43027,38.03743
0.43341,38.20325
0.43655,38.36834
0.43969,38.53268
0.44283,38.69629
0.44597,38.85915
0.44911,39.02127
0.45225,39.18264
0.45539,39.34325
0.45853,39.50311
0.46168,39.66220
0.46482,39.82053
0.46796,39.97808
0.47110,40.13488
0.47424,40.29090
0.47738,40.44614
0.48052,40.60061
0.48366,40.75429
0.48680,40.90718
0.48994,41.05928
0.49308,41.21058
0.49622,41.36110
0.49936,41.51081
0.50250,41.65973
0.50564,41.80783
0.50879,41.95513
0.51193,42.10162
0.51507,42.24730
0.51821,42.39216
0.52135,42.53621
0.52449,42.67943
0.52763,42.82183
0.53077,42.96340
0.53391,43.10414
0.53705,43.24405
0.54019,43.38311
0.54333,43.52134
0.54647,43.65873
0.54961,43.79528
0.55275,43.93097
0.55590,44.06582
0.55904,44.19981
0.56218,44.33295
0.56532,44.46523
0.56846,44.59665
0.57160,44.72721
0.57474,44.85690
0.57788,44.98572
0.58102,45.11367
0.58416,45.24074
0.58730,45.36693
0.59044,45.49224
0.59358,45.61668
0.59672,45.74022
0.59986,45.86288
0.60300,45.98464
0.60615,46.10551
0.60929,46.22549
0.61243,46.34458
0.61557,46.46276
0.61871,46.58005
0.62185,46.69643
0.62499,46.81190
0.62813,46.92646
0.63127,47.04011
0.63441,47.15285
0.63755,47.26466
0.64069,47.37556
0.64383,47.48553
0.64697,47.59459
0.65011,47.70272
0.65326,47.80993
0.65640,47.91621
0.65954,48.02155
0.66268,48.12597
0.66582,48.22945
0.66896,48.33199
0.67210,48.43359
0.67524,48.53425
0.67838,48.63397
0.68152,48.73274
0.68466,48.83057
0.68780,48.92744
0.69094,49.02337
0.69408,49.11834
0.69722,49.21236
0.70037,49.30543
0.70351,49.39754
0.70665,49.48869
0.70979,49.57888
0.71293,49.66811
0.71607,49.75637
0.71921,49.84366
0.72235,49.92999
0.72549,50.01534
0.72863,50.09972
0.73177,50.18312
0.73491,50.26554
0.73805,50.34698
0.74119,50.42745
0.74433,50.50693
0.74747,50.58542
0.75062,50.66293
0.75376,50.73944
0.75690,50.81498
0.76004,50.88952
0.76318,50.96307
0.76632,51.03564
0.76946,51.10720
0.77260,51.17778
0.77574,51.24736
0.77888,51.31594
0.78202,51.38351
0.78516,51.45008
0.78830,51.51566
0.79144,51.58022
0.79458,51.64378
0.79773,51.70633
0.80087,51.76787
0.80401,51.82840
0.80715,51.88792
0.81029,51.94643
0.81343,52.00393
0.81657,52.06041
0.81971,52.11588
0.82285,52.17033
0.82599,52.22375
0.82913,52.27616
0.83227,52.32755
0.83541,52.37791
0.83855,52.42725
0.84169,52.47558
0.84483,52.52288
0.84798,52.56915
0.85112,52.61439
0.85426,52.65860
0.85740,52.70179
0.86054,52.74395
0.86368,52.78508
0.86682,52.82517
0.86996,52.86423
0.87310,52.90226
0.87624,52.93926
0.87938,52.97523
0.88252,53.01015
0.88566,53.04404
0.88880,53.07689
0.89194,53.10869
0.89509,53.13945
0.89823,53.16918
0.90137,53.19786
0.90451,53.22550
0.90765,53.25209
0.91079,53.27764
0.91393,53.30214
0.91707,53.32560
0.92021,53.34801
0.92335,53.36938
0.92649,53.38971
0.92963,53.40899
0.93277,53.42721
0.93591,53.44440
0.93905,53.46054
0.94220,53.47563
0.94534,53.48967
0.94848,53.50266
0.95162,53.51460
0.95476,53.52550
0.95790,53.53535
0.96104,53.54414
0.96418,53.55188
0.96732,53.55857
0.97046,53.56422
0.97360,53.56881
0.97674,53.57235
0.97988,53.57484
0.98302,53.57628
0.98616,53.57666
0.98930,53.57600
0.99245,53.57429
0.99559,53.57153
0.99873,53.56771
1.00187,53.56285
1.00501,53.55693
1.00815,53.54996
1.01129,53.54195
1.01443,53.53289
1.01757,53.52278
1.02071,53.51162
1.02385,53.49940
1.02699,53.48615
1.03013,53.47183
1.03327,53.45646
1.03641,53.44004
1.03956,53.42257
1.04270,53.40406
1.04584,53.38449
1.04898,53.36388
1.05212,53.34223
1.05526,53.31953
1.05840,53.29578
1.06154,53.27098
1.06468,53.24513
1.06782,53.21824
1.07096,53.19030
1.07410,53.16132
1.07724,53.13129
1.08038,53.10020
1.08352,53.06808
1.08667,53.03490
1.08981,53.00069
1.09295,52.96543
1.09609,52.92913
1.09923,52.89180
1.10237,52.85342
1.10551,52.81400
1.10865,52.77354
1.11179,52.73205
1.11493,52.68952
1.11807,52.64595
1.12121,52.60135
1.12435,52.55572
1.12749,52.50905
1.13063,52.46135
1.13377,52.41261
1.13692,52.36284
1.14006,52.31205
1.14320,52.26022
1.14634,52.20737
1.14948,52.15350
1.15262,52.09860
1.15576,52.04267
1.15890,51.98572
1.16204,51.92774
1.16518,51.86873
1.16832,51.80871
1.17146,51.74767
1.17460,51.68560
1.17774,51.62252
1.18088,51.55843
1.18403,51.49332
1.18717,51.42719
1.19031,51.36005
1.19345,51.29189
1.19659,51.22273
1.19973,51.15256
1.20287,51.08138
1.20601,51.00919
1.20915,50.93599
1.21229,50.86179
1.21543,50.78659
1.21857,50.71039
1.22171,50.63318
1.22485,50.55498
1.22799,50.47578
1.23114,50.39558
1.23428,50.31439
1.23742,50.23221
1.24056,50.14903
1.24370,50.06487
1.24684,49.97971
1.24998,49.89357
1.25312,49.80645
1.25626,49.71833
1.25940,49.62924
1.26254,49.53917
1.26568,49.44811
1.26882,49.35608
1.27196,49.26307
1.27510,49.16908
1.27824,49.07413
1.28139,48.97820
1.28453,48.88131
1.28767,48.78345
1.29081,48.68462
1.29395,48.58484
1.29709,48.48409
1.30023,48.38238
1.30337,48.27972
1.30651,48.17610
1.30965,48.07153
1.31279,47.96601
1.31593,47.85954
1.31907,47.75212
1.32221,47.64375
1.32535,47.53445
1.32850,47.42420
1.33164,47.31301
1.33478,47.20088
1.33792,47.08782
1.34106,46.97383
1.34420,46.85890
1.34734,46.74305
1.35048,46.62628
1.35362,46.50858
1.35676,46.38997
1.35990,46.27043
1.36304,46.14997
1.36618,46.02861
1.36932,45.90632
1.37246,45.78313
1.37560,45.65902
1.37875,45.53402
1.38189,45.40811
1.38503,45.28130
1.38817,45.15359
1.39131,45.02499
1.39445,44.89550
1.39759,44.76511
1.40073,44.63384
1.40387,44.50168
1.40701,44.36864
1.41015,44.23471
1.41329,44.09991
1.41643,43.96424
1.41957,43.82769
1.42271,43.69028
1.42586,43.55199
1.42900,43.41284
1.43214,43.27282
1.43528,43.13195
1.43842,42.99022
1.44156,42.84763
1.44470,42.70420
1.44784,42.55991
1.45098,42.41478
1.45412,42.26881
1.45726,42.12199
1.46040,41.97433
1.46354,41.82584
1.46668,41.67652
1.46982,41.52636
1.47297,41.37539
1.47611,41.22358
1.47925,41.07095
1.48239,40.91751
1.48553,40.76326
1.48867,40.60820
1.49181,40.45232
1.49495,40.29564
1.49809,40.13816
1.50123,39.97988
1.50437,39.82081
1.50751,39.66094
1.51065,39.50028
1.51379,39.33883
1.51693,39.17660
1.52007,39.01358
1.52322,38.84978
1.52636,38.68521
1.52950,38.51987
1.53264,38.35377
1.53578,38.18689
1.53892,38.01926
1.54206,37.85087
1.54520,37.68172
1.54834,37.51182
1.55148,37.34117
1.55462,37.16978
1.55776,36.99764
1.56090,36.82476
1.56404,36.65115
1.56718,36.47680
1.57033,36.30172
1.57347,36.12592
1.57661,35.94939
1.57975,35.77214
1.58289,35.59418
1.58603,35.41551
1.58917,35.23613
1.59231,35.05605
1.59545,34.87526
1.59859,34.69378
1.60173,34.51160
1.60487,34.32872
1.60801,34.14516
1.61115,33.96092
1.61429,33.77599
1.61743,33.59039
1.62058,33.40412
1.62372,33.21717
1.62686,33.02956
1.63000,32.84128
1.63314,32.65234
1.63628,32.46275
1.63942,32.27251
1.64256,32.08162
1.64570,31.89008
1.64884,31.69791
1.65198,31.50509
1.65512,31.31165
1.65826,31.11757
1.66140,30.92288
1.66454,30.72755
1.66769,30.53161
1.67083,30.33506
1.67397,30.13789
1.67711,29.94012
1.68025,29.74174
